메인 키,명칭,행정 시,행정 구,행정 동,전화번호,위도,경도
BE_LiST39-0001,Bongeunsa Temple,Seoul,Gangnam-gu,Samseong1-dong,02-511-6070,37.514852,127.0573766
BE_LiST39-0002,Bulguksa Temple,Seoul,Gangnam-gu,Irwonbon-dong,02-445-4543,37.477353,127.074907
BE_LiST39-0003,Hwagyesa Temple,Seoul,Gangbuk-gu,Suyu1-dong,02-902-2663,37.6326445,127.0073066
BE_LiST39-0004,Samseongam Hermitage,Seoul,Gangbuk-gu,Suyu1-dong,02-988-1996,37.6293331,127.0011599
BE_LiST39-0005,Doseonsa Temple,Seoul,Gangbuk-gu,Ui-dong,02-993-3161,37.6551163,126.9895737
BE_LiST39-0006,Bogwangsa Temple,Seoul,Gangbuk-gu,Insu-dong,02-993-3808,37.650025,127.0034091
BE_LiST39-0007,Yongdeoksa Temple,Seoul,Gangbuk-gu,Ui-dong,02-993-1767,37.671272,127.0000528
BE_LiST39-0008,Bonwonjeongsa Temple,Seoul,Gangbuk-gu,Insu-dong,02-902-7337,37.638112,127.006482
BE_LiST39-0009,Singeumsa Temple,Seoul,Gangbuk-gu,Ui-dong,02-998-4046,37.583363,126.8056248
BE_LiST39-0010,Yaksasa Temple,Seoul,Gangseo-gu,Banghwa2-dong,02-2662-2551,37.583363,126.8056248
BE_LiST39-0011,Mitasa Temple,Seoul,Gangseo-gu,Banghwa2-dong,02-2662-4736,37.5806689,126.8031807
BE_LiST39-0012,Beobseongsa Temple,Seoul,Gangseo-gu,Deungchon2-dong,02-2651-0805,37.54273,126.8569265
BE_LiST39-0013,Gwaneumsa Temple,Seoul,Gwanak-gu,Namhyeon-dong,02-582-8609,37.4677946,126.976613
BE_LiST39-0014,Yaksuam Hermitage,Seoul,Gwanak-gu,Samseong-dong,02-877-7514,37.6222787,127.0154365
BE_LiST39-0015,Jaunam Hermitage,Seoul,Gwanak-gu,Daehak-dong,02-882-3839,37.4489926,126.9538519
BE_LiST39-0016,Seongjuam Hermitage,Seoul,Gwanak-gu,Daehak-dong,02-877-7180,37.457462,126.9427566
BE_LiST39-0017,Yeonghwasa Temple,Seoul,Gwangjin-gu,Guui2-dong,02-444-4321,37.554288,127.098236
BE_LiST39-0018,Hoapsa Temple,Seoul,Geumcheon-gu,Siheung2-dong,02-803-4779,37.451697,126.920558
BE_LiST39-0019,Hangnimsa Temple,Seoul,Nowon-gu,Sanggye3.4-dong,02-936-1700,37.6821058,127.0773454
BE_LiST39-0020,Yongguram Heritage,Seoul,Nowon-gu,Sanggye3.4-dong,02-937-8206,37.6795342,127.0802379
BE_LiST39-0021,Hakdoam Heritage,Seoul,Nowon-gu,Junggyebon-dong,02-930-6611,37.6519051,127.0897638
