CATEGORY,K_NAME,E_NAME,LNG,LAT,GU,DONG,K_DESCRIBE,E_DESCRIBE,TEL,IMG_URL
사찰,봉은사,Bongeunsa Temple,127.0573766,37.514852,Gangnam-gu,Samseong1-dong,"서울특별시 강남구 수도산(修道山)에 있는 남북국시대 통일신라의 승려 연회국사가 창건한 사찰이다. 대한불교조계종 직할교구 본사 조계사의 말사이다. 이 절은 794년(원성왕 10)에 연회국사(緣會國師)가 창건하여 견성사(見性寺)라 하였다. 그 뒤 고려시대의 사적은 전해지지 않고 있다. 1498년(연산군 4)에 정현왕후(貞顯王后)가 성종의 능인 선릉(宣陵)을 위하여 능의 동편에 있던 이 절을 크게 중창하고, 절 이름을 봉은사라고 개칭하였다. 1501년(연산군 7) 나라에서 절에 왕패(王牌)를 하사하였다.","This temple was built by Yeonhoe, a Buddhist monk from the Unified Silla Kingdom, in Sudosan Mountain, Gangnam-gu, Seoul. It is a branch temple of Jogye Temple, the headquarters of the Korean Buddhist Jogye Order. This temple was founded by National Preceptor Yeonhoe in 794 (10th year of King Wonseong's reign) and was called Gyeonseongsa. Since then, no historical records of the Goryeo Dynasty have been handed down. In 1498 (the 4th year of Yeonsan-gun), Queen Jeonghyeon (the 4th year of King Yeongsan's reign) reconstructed this temple, which was located on the east side of the tomb, for Seonneung, the tomb of King Seongjong, and renamed it Bongeunsa. In 1501 (the 7th year of the reign of King Yeonsan-gun), a Buddhist temple was granted a royal tablet.",02-511-6070,http://encykorea.aks.ac.kr/Contents/GetImage?id=ac0993b4-41ba-45c2-bf78-a6aa6bba3ab4&w=260&h=260&fit=w&clip=1
사찰,불국사,Bulguksa Temple,127.074907,37.477353,Gangnam-gu,Irwonbon-dong,서울특별시 강남구 대모산에 있는 한국불교태고종 소속의 사찰이다. 고려 공민왕 2년에 진정국사가 창건하였다.,"It is a temple belonging to the Korean Buddhist Taegojong located in Daemosan Mountain, Gangnam-gu, Seoul. In the second year of King Gongmin of Goryeo, it was founded by State Preceptor Chung.",02-445-4543,https://lh5.googleusercontent.com/p/AF1QipMUBQjgkHqM67WQpoiwTCa9gWxAj_RNQ8tz9GXC=w408-h272-k-no
사찰,화계사,Hwagyesa Temple,127.0073066,37.6326445,Gangbuk-gu,Suyu1-dong,"서울특별시 강북구에 있는 조선전기 승려 신월선사가 창건한 사찰이다. 대한불교조계종 직할교구 본사인 조계사(曹溪寺)의 말사이다. 1522년(중종 17) 신월선사(信月禪師)가 창건하였다. 원래는 고려 광종 때 탄문(坦文)·법인대사(法印大師)가 지금의 화계사 근처인 삼각산 부허동(浮虛洞)에 보덕암(普德庵)을 창건하였는데, 1522년 신월이 서평군(西平君) 이공(李公)과 협의하여 지금의 화계사 자리로 옮기고 법당 3처(處)와 스님들의 요사(寮舍) 50칸을 지어 화계사라고 고쳐 불렀다고 한다.","This temple was founded by Sinwolseonsa, a Buddhist monk of the Joseon Dynasty, in Gangbuk-gu, Seoul. It is a branch temple of Jogye Temple, the headquarters of the Jogye Order of Korean Buddhism. It was founded by Sinwolseonsa Temple in 1522 (the 17th year of King Jungjong's reign). Originally, Tanmun and Beopjeongsa Temple established Baodeokam in Buhe-dong, Samgaksan Mountain near Hwagye Temple during the reign of King Gwangjong of the Goryeo Dynasty. In 1522, Sinwol moved to the current Hwagye Temple in consultation with Yi Gong of Seopyeong-gun and moved to the current Hwagye Temple site, three Buddhist temples, and 50 monks.",02-902-2663,http://encykorea.aks.ac.kr/Contents/GetImage?id=171f6846-5b4a-47be-863b-b382577d7102&w=260&h=260&fit=w&clip=1
사찰,삼성암,Samseongam Hermitage,127.0011599,37.6293331,Gangbuk-gu,Suyu1-dong,"서울특별시 강북구 삼각산(三角山)에 있는 조선후기 신도 고상진이 창건한 암자이다. 대한불교조계종 직할교구 본사인 조계사(曹溪寺)의 말사이다. 1872년에 신도 고상진(高尙鎭)이 창건하여 ‘소란야(小蘭若)’라고 하였다. 창건에 앞서 한양에 살았던 신도 박선묵(朴銑默)과 유성종(劉聖鐘)·서윤구(徐潤龜)·고상진·이원기(李元基)·장윤구(張潤九)·유재호(劉在護) 등 7인은 1870년 봄에 함께 발심(發心)하여 현재의 절에 있는 천태굴(天台窟)에서 3일 동안 독성기도(獨聖祈禱)를 마치고 절의 창건을 약속하였는데, 그 약속을 이행하여 1872년에 창건한 것이다. 그 뒤 1881년에 박선묵이 독성각(獨聖閣)을 신축하고 절 이름을 삼성암으로 바꾸었으며, 1936년에는 동운(東雲)이 신도 김용태(金容泰)의 시주를 얻어서 칠성각(七星閣)을 중건하였다.","The hermitage was founded by Go Sang-jin, a Shindo of the late Joseon Dynasty, in Samgaksan Mountain, Gangbuk-gu, Seoul. It is a branch temple of Jogye Temple, the headquarters of the Jogye Order of Korean Buddhism. Founded in 1872 by Go Sang-jin, a Shindo, it was called ""Soranya."" Prior to the founding of the temple, seven believers, including Park Seon-muk, Yoo Seong-jong, Seo Yoon-gu, Ko Sang-jin, Lee Won-ki, Jang Yoon-gu, and Yoo Jae-ho, who lived in Hanyang, joined together in the spring of 1870, and promised to pray for toxicity for three days at Cheontaegul in the current temple. In 1881, Park Seon-muk built Dokseonggak and renamed the temple Samseongam. In 1936, Dongun reconstructed Chilseonggak by obtaining a poem from Kim Yong-tae, a believer.",02-988-1996,http://encykorea.aks.ac.kr/Contents/GetImage?id=a6a50aa2-2e90-43dc-9b2f-e038b676ed61&w=260&h=260&fit=w&clip=1
사찰,도선사,Doseonsa Temple,126.9895737,37.6551163,Gangbuk-gu,Ui-dong,"서울특별시 강북구 북한산(北漢山)에 있는 남북국시대 통일신라의 승려 도선이 창건한 사찰이다. 대한불교조계종 직할교구 본사인 조계사(曹溪寺)의 말사이다. 862년(경문왕 2) 도선(道詵)이 창건하였다. 도선은 이곳의 산세가 1,000년 뒤의 말법시대(末法時代)에 불법을 다시 일으킬 곳이라고 예견하고 절을 창건한 뒤, 큰 암석을 손으로 갈라서 마애관음보살상을 조각하였다고 한다.","The temple was founded by Doseon, a Buddhist monk from the Unified Silla Kingdom during the period of the two Koreas, in Bukhansan Mountain, Gangbuk-gu, Seoul. It is a branch temple of Jogye Temple, the headquarters of the Jogye Order of Korean Buddhism. It was founded by Doseon in 862 (the 2nd year of King Gyeongmun's reign). Doseon is said to have carved the Maaegwaneum Bodhisattva by hand, predicting that the mountain area here would be a place to reignite the illegality of the Buddhist Monk 1,000 years later.",02-993-3161,http://encykorea.aks.ac.kr/Contents/GetImage?id=4d7861c2-20c2-4e32-85d2-5bf59fda445d&w=260&h=260&fit=w&clip=1
사찰,보광사,Bogwangsa Temple,127.0034091,37.650025,Gangbuk-gu,Insu-dong,서울특별시 강북구 우이동 산63-9에 있는 조계종 소속 사찰이다.,"It is a temple belonging to the Jogye Order located in San 63-9 Udong, Gangbuk-gu, Seoul.",02-993-3808,
사찰,용덕사,Yongdeoksa Temple,127.0000528,37.671272,Gangbuk-gu,Ui-dong,서울특별시 강북구 우이동 산68-1에 있는 조계종 소속 사찰이다.,"It is a temple belonging to the Jogye Order located in Udong Mountain 68-1 in Gangbuk-gu, Seoul.",02-993-1767,
사찰,본원정사,Bonwonjeongsa Temple,127.006482,37.638112,Gangbuk-gu,Insu-dong,"도심과 가까운 곳에 자리 잡고 있어서 불자뿐만 아니라 등산객, 일반인들도 방문하기 편한 사찰이다. 화계사와 국립 4.19 민주묘지 중간에 위치되어 있는 본원정사는 1920년대 손덕선이 이곳에 절을 짓고 도성암이라 불렀다.","It is located close to the city center, making it easy for not only Buddhists but also hikers and ordinary people to visit. Located in the middle of Hwagyesa Temple and the National 4.19 Democratic Cemetery, the main temple was built by Son Deok-seon in the 1920s and was called Doseongam.",02-902-7337,https://m.blog.naver.com/PostView.nhn?blogId=hopegb&logNo=220618234444&proxyReferer=https:%2F%2Fwww.google.com%2F&view=img_1
사찰,약사사,Yaksasa Temple,126.8056248,37.583363,Gangseo-gu,Banghwa2-dong,조선후기 순조 이전까지 개화사(開花寺)로 불리다가 그 이후 약사사라 명칭이 바뀐 사찰이다. 조선후기에 쓰여진 《양천읍지》에 의하면 이 곳이 신라시대의 사찰이라 전하고 있으나 구체적으로 언제 창건되었는지는 알 수 없는 실정이다.,"It was called Gaehwasa Temple before the late Joseon Dynasty, but has since been renamed Yaksa Temple. According to the ""Yangcheon-eupji,"" which was written in the late Joseon Period, it is unknown when the temple was built.",02-2662-2551,
사찰,미타사,Mitasa Temple,126.8031807,37.5806689,Gangseo-gu,Banghwa2-dong,"서울특별시 강서구 미타사에 있는 조선시대의 석불입상이다. 서울특별시 유형문화재 제249호. 불상의 높이 340㎝, 어깨 폭 92㎝. 석불입상은 원래 요사채로 사용되던 건물 안에 봉안되어 있었는데, 지금은 야외에 모셔져 있다. 미타사 석불입상에 대한 기록이 전혀 남아 있지 않아 석불의 성격과 조성 배경은 구체적으로 알 수 없다. 원래의 팔각연화대좌는 따로 보관되어 있으며, 불상을 받치고 있는 대좌는 근년에 후보한 것이다. 석불입상이 언제부터 미타사에 봉안되어 있었는지에 대해서도 알 수 없다.","The Stone Standing Buddha of the Joseon Dynasty located in Mitasa Temple, Gangseo-gu, Seoul. Seoul Tangible Cultural Heritage No. 249. The Buddha statue was 340 cm high and 92 cm wide. The Stone Standing Buddha was originally enshrined in a building used as a Yosachae, but is now enshrined outdoors. There is no record of the standing stone Buddha statue of Mitasa Temple, so the nature of the stone Buddha and the background of the statue are unknown. The original octagonal lotus pedestal is kept separately, and the pedestal supporting the Buddha statue was nominated in recent years. It is also unknown when the Stone Standing Buddha was enshrined in Mitasa Temple.",02-2662-4736,
